Tiempo (s),Nodos
1,196941
2,397404
3,600350
4,803312
5,1000001
6,1168608
7,1367749
8,1567850
9,1768251
10,1970132
11,2171617
12,2372633
13,2572592
14,2773144
15,2973181
16,3172859
17,3372421
18,3571100
19,3770571
20,3970098
21,4170835
22,4370850
23,4571237
24,4771821
25,4972008
26,5172145
27,5371222
28,5571106
29,5770830
30,5969352
31,6169588
32,6368878
33,6568635
34,6768103
35,6967976
36,7167688
37,7367613
38,7567593
39,7767358
40,7967720
41,8167103
42,8367147
43,8567433
44,8768204
45,8964250
46,9162393
47,9362017
48,9562248
49,9762834
50,9962156
51,10161037
52,10360130
53,10559034
54,10760816
55,10962901
56,11166293
57,11367232
58,11567106
59,11772164
60,11976432
61,12178658
62,12379311
63,12580340
64,12781661
65,12983455
66,13184531
67,13386230
68,13587076
69,13788725
70,13990691
71,14193076
72,14394965
73,14594731
74,14794749
75,14995645
76,15195460
77,15395194
78,15594939
79,15796125
80,15995850
81,16196741
82,16397307
83,16598074
84,16798273
85,16996625
86,17195974
87,17395043
88,17594807
89,17794160
90,17993500
91,18193054
92,18391710
93,18590717
94,18790424
95,18989522
96,19188860
97,19387780
98,19587872
99,19786336
100,19985410
101,20185700
102,20386747
103,20586835
104,20786140
105,20986033
106,21185006
107,21384465
108,21584843
109,21784487
110,21984211
111,22183985
112,22384229
113,22586317
114,22787156
115,22995262
116,23197391
117,23399999
118,23601491
119,23800753
120,24000666
