Tiempo (s),Factibles,Infactibles (Choques)
1,196804,674
2,397143,1294
3,599963,1924
4,802799,2549
5,999367,2999
6,1167869,3519
7,1366887,4134
8,1566864,4754
9,1767141,5374
10,1968898,5839
11,2170258,6459
12,2371150,7084
13,2570985,7699
14,2771413,8214
15,2971325,8784
16,3170879,9399
17,3370318,10019
18,3568874,10634
19,3768222,11089
20,3967625,11704
21,4168238,12329
22,4368129,12944
23,4568392,13564
24,4768852,14024
25,4968915,14644
26,5168928,15264
27,5367882,15879
28,5567642,16339
29,5767242,16959
30,5965641,17574
31,6165753,18189
32,6364920,18809
33,6564553,19264
34,6763898,19884
35,6963647,20499
36,7163236,21119
37,7363037,21714
38,7562893,22194
39,7762535,22809
40,7962773,23429
41,8162032,24049
42,8361952,24509
43,8562114,25129
44,8762761,25749
45,8958685,26359
46,9156706,26969
47,9356206,27424
48,9556313,28044
49,9756775,28664
50,9955974,29284
51,10154732,29814
52,10353702,30354
53,10552483,30969
54,10754140,31589
55,10956100,32214
56,11159365,32689
57,11360180,33309
58,11559930,33929
59,11764861,34564
60,11969003,35194
61,12171104,35659
62,12371632,36279
63,12572537,36899
64,12773733,37524
65,12975403,37989
66,13176354,38609
67,13377928,39234
68,13578650,39854
69,13780174,40479
70,13982014,40949
71,14184274,41574
72,14386038,42199
73,14585681,42814
74,14785575,43314
75,14986347,43894
76,15186038,44514
77,15385648,45129
78,15585270,45749
79,15786331,46209
80,15985933,46824
81,16186699,47449
82,16387141,48069
83,16587784,48689
84,16787858,49154
85,16986088,49764
86,17185313,50384
87,17384259,50999
88,17583900,51454
89,17783129,52069
90,17982346,52689
91,18181776,53304
92,18380309,53919
93,18579193,54374
94,18778777,54989
95,18977752,55609
96,19176966,56224
97,19375763,56814
98,19575730,57304
99,19774072,57914
100,19973022,58529
101,20173188,59149
102,20374111,59609
103,20574075,60229
104,20773257,60844
105,20973026,61464
106,21171876,62079
107,21371212,62534
108,21571466,63154
109,21770986,63774
110,21970587,64389
111,22170237,64914
112,22370356,65474
113,22572319,66099
114,22773034,66719
115,22981011,67364
116,23183015,67824
117,23385498,68454
118,23586865,69074
119,23786004,69694
120,23985793,70308
