Nodos Explorados,Mejor Costo
5000,6130
10000,6100
15000,6080
20000,6050
25000,6030
30000,6000
35000,5980
40000,5950
45000,5930
50000,5900
55000,5880
60000,5850
65000,5830
70000,5800
75000,5780
80000,5750
85000,5730
90000,5700
95000,5670
100000,5650
105000,5620
110000,5600
115000,5570
120000,5550
125000,5520
130000,5500
135000,5470
140000,5460
145000,5460
150000,5460
155000,5460
160000,5460
165000,5460
170000,5460
175000,5460
180000,5460
185000,5460
190000,5460
195000,5460
200000,5460
205000,5460
210000,5460
215000,5460
220000,5460
225000,5460
230000,5460
235000,5460
240000,5460
245000,5460
250000,5460
255000,5460
260000,5460
265000,5460
270000,5460
275000,5460
280000,5460
285000,5460
290000,5460
295000,5460
300000,5460
305000,5460
310000,5460
315000,5460
320000,5460
325000,5460
330000,5460
335000,5460
340000,5460
345000,5460
350000,5460
355000,5460
360000,5460
365000,5460
370000,5460
375000,5460
380000,5460
385000,5460
390000,5460
395000,5460
400000,5460
405000,5460
410000,5460
415000,5460
420000,5460
425000,5460
430000,5460
435000,5460
440000,5460
445000,5460
450000,5460
455000,5460
460000,5460
465000,5460
470000,5460
475000,5460
480000,5460
485000,5460
490000,5460
495000,5460
500000,5460
505000,5460
510000,5460
515000,5460
520000,5460
525000,5460
530000,5460
535000,5460
540000,5460
545000,5460
550000,5460
555000,5460
560000,5460
565000,5460
570000,5460
575000,5460
580000,5460
585000,5460
590000,5460
595000,5460
600000,5460
605000,5460
610000,5460
615000,5460
620000,5460
625000,5460
630000,5460
635000,5460
640000,5460
645000,5460
650000,5460
655000,5460
660000,5460
665000,5460
670000,5460
675000,5460
680000,5460
685000,5460
690000,5460
695000,5460
700000,5460
705000,5460
710000,5460
715000,5460
720000,5460
725000,5460
730000,5460
735000,5460
740000,5460
745000,5460
750000,5460
755000,5460
760000,5460
765000,5460
770000,5460
775000,5460
780000,5460
785000,5460
790000,5460
795000,5460
800000,5460
805000,5460
810000,5460
815000,5460
820000,5460
825000,5460
830000,5460
835000,5460
840000,5460
845000,5460
850000,5460
855000,5460
860000,5460
865000,5460
870000,5460
875000,5460
880000,5460
885000,5460
890000,5460
895000,5460
900000,5460
905000,5460
910000,5460
915000,5460
920000,5460
925000,5460
930000,5460
935000,5460
940000,5460
945000,5460
950000,5460
955000,5460
960000,5460
965000,5460
970000,5460
975000,5460
980000,5460
985000,5460
990000,5460
995000,5460
1000000,5460
1005000,5460
1010000,5460
1015000,5460
1020000,5460
1025000,5460
1030000,5460
1035000,5460
1040000,5460
1045000,5460
1050000,5460
1055000,5460
1060000,5460
1065000,5460
1070000,5460
1075000,5460
1080000,5460
1085000,5460
1090000,5460
1095000,5460
1100000,5460
1105000,5460
1110000,5460
1115000,5460
1120000,5460
1125000,5460
1130000,5460
1135000,5460
1140000,5460
1145000,5460
1150000,5460
1155000,5460
1160000,5460
1165000,5460
1170000,5460
1175000,5460
1180000,5460
1185000,5460
1190000,5460
1195000,5460
1200000,5460
1205000,5460
1210000,5460
1215000,5460
1220000,5460
1225000,5460
1230000,5460
1235000,5460
1240000,5460
1245000,5460
1250000,5460
1255000,5460
1260000,5460
1265000,5460
1270000,5460
1275000,5460
1280000,5460
1285000,5460
1290000,5460
1295000,5460
1300000,5460
1305000,5460
1310000,5460
1315000,5460
1320000,5460
1325000,5460
1330000,5460
1335000,5460
1340000,5460
1345000,5460
1350000,5460
1355000,5460
1360000,5460
1365000,5460
1370000,5460
1375000,5460
1380000,5460
1385000,5460
1390000,5460
1395000,5460
1400000,5460
1405000,5460
1410000,5460
1415000,5460
1420000,5460
1425000,5460
1430000,5460
1435000,5460
1440000,5460
1445000,5460
1450000,5460
1455000,5460
1460000,5460
1465000,5460
1470000,5460
1475000,5460
1480000,5460
1485000,5460
1490000,5460
1495000,5460
1500000,5460
1505000,5460
1510000,5460
1515000,5460
1520000,5460
1525000,5460
1530000,5460
1535000,5460
1540000,5460
1545000,5460
1550000,5460
1555000,5460
1560000,5460
1565000,5460
1570000,5460
1575000,5460
1580000,5460
1585000,5460
1590000,5460
1595000,5460
1600000,5460
1605000,5460
1610000,5460
1615000,5460
1620000,5460
1625000,5460
1630000,5460
1635000,5460
1640000,5460
1645000,5460
1650000,5460
1655000,5460
1660000,5460
1665000,5460
1670000,5460
1675000,5460
1680000,5460
1685000,5460
1690000,5460
1695000,5460
1700000,5460
1705000,5460
1710000,5460
1715000,5460
1720000,5460
1725000,5460
1730000,5460
1735000,5460
1740000,5460
1745000,5460
1750000,5460
1755000,5460
1760000,5460
1765000,5460
1770000,5460
1775000,5460
1780000,5460
1785000,5460
1790000,5460
1795000,5460
1800000,5460
1805000,5460
1810000,5460
1815000,5460
1820000,5460
1825000,5460
1830000,5460
1835000,5460
1840000,5460
1845000,5460
1850000,5460
1855000,5460
1860000,5460
1865000,5460
1870000,5460
1875000,5460
1880000,5460
1885000,5460
1890000,5460
1895000,5460
1900000,5460
1905000,5460
1910000,5460
1915000,5460
1920000,5460
1925000,5460
1930000,5460
1935000,5460
1940000,5460
1945000,5460
1950000,5460
1955000,5460
1960000,5460
1965000,5460
1970000,5460
1975000,5460
1980000,5460
1985000,5460
1990000,5460
1995000,5460
2000000,5460
2005000,5460
2010000,5460
2015000,5460
2020000,5460
2025000,5460
2030000,5460
2035000,5460
2040000,5460
2045000,5460
2050000,5460
2055000,5460
2060000,5460
2065000,5460
2070000,5460
2075000,5460
2080000,5460
2085000,5460
2090000,5460
2095000,5460
2100000,5460
2105000,5460
2110000,5460
2115000,5460
2120000,5460
2125000,5460
2130000,5460
2135000,5460
2140000,5460
2145000,5460
2150000,5460
2155000,5460
2160000,5460
2165000,5460
2170000,5460
2175000,5460
2180000,5460
2185000,5460
2190000,5460
2195000,5460
2200000,5460
2205000,5460
2210000,5460
2215000,5460
2220000,5460
2225000,5460
2230000,5460
2235000,5460
2240000,5460
2245000,5460
2250000,5460
2255000,5460
2260000,5460
2265000,5460
2270000,5460
2275000,5460
2280000,5460
2285000,5460
2290000,5460
2295000,5460
2300000,5460
2305000,5460
2310000,5460
2315000,5460
2320000,5460
2325000,5460
2330000,5460
2335000,5460
2340000,5460
2345000,5460
2350000,5460
2355000,5460
2360000,5460
2365000,5460
2370000,5460
2375000,5460
2380000,5460
2385000,5460
2390000,5460
2395000,5460
2400000,5460
2405000,5460
2410000,5460
2415000,5460
2420000,5460
2425000,5460
2430000,5460
2435000,5460
2440000,5460
2445000,5460
2450000,5460
2455000,5460
2460000,5460
2465000,5460
2470000,5460
2475000,5460
2480000,5460
2485000,5460
2490000,5460
2495000,5460
2500000,5460
2505000,5460
2510000,5460
2515000,5460
2520000,5460
2525000,5460
2530000,5460
2535000,5460
2540000,5460
2545000,5460
2550000,5460
2555000,5460
2560000,5460
2565000,5460
2570000,5460
2575000,5460
2580000,5460
2585000,5460
2590000,5460
2595000,5460
2600000,5460
2605000,5460
2610000,5460
2615000,5460
2620000,5460
2625000,5460
2630000,5460
2635000,5460
2640000,5460
2645000,5460
2650000,5460
2655000,5460
2660000,5460
2665000,5460
2670000,5460
2675000,5460
2680000,5460
2685000,5460
2690000,5460
2695000,5460
2700000,5460
2705000,5460
2710000,5460
2715000,5460
2720000,5460
2725000,5460
2730000,5460
2735000,5460
2740000,5460
2745000,5460
2750000,5460
2755000,5460
2760000,5460
2765000,5460
2770000,5460
2775000,5460
2780000,5460
2785000,5460
2790000,5460
2795000,5460
2800000,5460
2805000,5460
2810000,5460
2815000,5460
2820000,5460
2825000,5460
2830000,5460
2835000,5460
2840000,5460
2845000,5460
2850000,5460
2855000,5460
2860000,5460
2865000,5460
2870000,5460
2875000,5460
2880000,5460
2885000,5460
2890000,5460
2895000,5460
2900000,5460
2905000,5460
2910000,5460
2915000,5460
2920000,5460
2925000,5460
2930000,5460
2935000,5460
2940000,5460
2945000,5460
2950000,5460
2955000,5460
2960000,5460
2965000,5460
2970000,5460
2975000,5460
2980000,5460
2985000,5460
2990000,5460
2995000,5460
3000000,5460
3005000,5460
3010000,5460
3015000,5460
3020000,5460
3025000,5460
3030000,5460
3035000,5460
3040000,5460
3045000,5460
3050000,5460
3055000,5460
3060000,5460
3065000,5460
3070000,5460
3075000,5460
3080000,5460
3085000,5460
3090000,5460
3095000,5460
3100000,5460
3105000,5460
3110000,5460
3115000,5460
3120000,5460
3125000,5460
3130000,5460
3135000,5460
3140000,5460
3145000,5460
3150000,5460
3155000,5460
3160000,5460
3165000,5460
3170000,5460
3175000,5460
3180000,5460
3185000,5460
3190000,5460
3195000,5460
3200000,5460
3205000,5460
3210000,5460
3215000,5460
3220000,5460
3225000,5460
3230000,5460
3235000,5460
3240000,5460
3245000,5460
3250000,5460
3255000,5460
3260000,5460
3265000,5460
3270000,5460
3275000,5460
3280000,5460
3285000,5460
3290000,5460
3295000,5460
3300000,5460
3305000,5460
3310000,5460
3315000,5460
3320000,5460
3325000,5460
3330000,5460
3335000,5460
3340000,5460
3345000,5460
3350000,5460
3355000,5460
3360000,5460
3365000,5460
3370000,5460
3375000,5460
3380000,5460
3385000,5460
3390000,5450
3395000,5450
3400000,5450
3405000,5450
3410000,5450
3415000,5450
3420000,5450
3425000,5450
3430000,5450
3435000,5450
3440000,5450
3445000,5450
3450000,5450
3455000,5450
3460000,5450
3465000,5450
3470000,5450
3475000,5450
3480000,5450
3485000,5450
3490000,5450
3495000,5450
3500000,5450
3505000,5450
3510000,5450
3515000,5450
3520000,5450
3525000,5450
3530000,5450
3535000,5450
3540000,5450
3545000,5450
3550000,5450
3555000,5450
3560000,5450
3565000,5450
3570000,5450
3575000,5450
3580000,5450
3585000,5450
3590000,5450
3595000,5450
3600000,5450
3605000,5450
3610000,5450
3615000,5450
3620000,5450
3625000,5450
3630000,5450
3635000,5450
3640000,5450
3645000,5450
3650000,5450
3655000,5450
3660000,5450
3665000,5450
3670000,5450
3675000,5450
3680000,5450
3685000,5450
3690000,5450
3695000,5450
3700000,5450
3705000,5450
3710000,5450
3715000,5450
3720000,5450
3725000,5450
3730000,5450
3735000,5450
3740000,5450
3745000,5450
3750000,5450
3755000,5450
3760000,5450
3765000,5450
3770000,5450
3775000,5450
3780000,5450
3785000,5450
3790000,5450
3795000,5450
3800000,5450
3805000,5450
3810000,5450
3815000,5450
3820000,5450
3825000,5450
3830000,5450
3835000,5450
3840000,5450
3845000,5450
3850000,5450
3855000,5450
3860000,5450
3865000,5450
3870000,5450
3875000,5450
3880000,5450
3885000,5450
3890000,5450
3895000,5450
3900000,5450
3905000,5450
3910000,5450
3915000,5450
3920000,5450
3925000,5450
3930000,5450
3935000,5450
3940000,5450
3945000,5450
3950000,5450
3955000,5450
3960000,5450
3965000,5450
3970000,5450
3975000,5450
3980000,5450
3985000,5450
3990000,5450
3995000,5450
4000000,5450
4005000,5450
4010000,5450
4015000,5450
4020000,5450
4025000,5450
4030000,5450
4035000,5450
4040000,5450
4045000,5450
4050000,5450
4055000,5450
4060000,5450
4065000,5450
4070000,5450
4075000,5450
4080000,5450
4085000,5450
4090000,5450
4095000,5450
4100000,5450
4105000,5450
4110000,5450
4115000,5450
4120000,5450
4125000,5450
4130000,5450
4135000,5450
4140000,5450
4145000,5450
4150000,5450
4155000,5450
4160000,5450
4165000,5450
4170000,5450
4175000,5450
4180000,5450
4185000,5450
4190000,5450
4195000,5450
4200000,5450
4205000,5450
4210000,5450
4215000,5450
4220000,5450
4225000,5450
4230000,5450
4235000,5450
4240000,5450
4245000,5450
4250000,5450
4255000,5450
4260000,5450
4265000,5450
4270000,5450
4275000,5450
4280000,5450
4285000,5450
4290000,5450
4295000,5450
4300000,5450
4305000,5450
4310000,5450
4315000,5450
4320000,5450
4325000,5450
4330000,5450
4335000,5450
4340000,5450
4345000,5450
4350000,5450
4355000,5450
4360000,5450
4365000,5450
4370000,5450
4375000,5450
4380000,5450
4385000,5450
4390000,5450
4395000,5450
4400000,5450
4405000,5450
4410000,5450
4415000,5450
4420000,5450
4425000,5450
4430000,5450
4435000,5450
4440000,5450
4445000,5450
4450000,5450
4455000,5450
4460000,5450
4465000,5450
4470000,5450
4475000,5450
4480000,5450
4485000,5450
4490000,5450
4495000,5450
4500000,5450
4505000,5450
4510000,5450
4515000,5450
4520000,5450
4525000,5450
4530000,5450
4535000,5450
4540000,5450
4545000,5450
4550000,5450
4555000,5450
4560000,5450
4565000,5450
4570000,5450
4575000,5450
4580000,5450
4585000,5450
4590000,5450
4595000,5450
4600000,5450
4605000,5450
4610000,5450
4615000,5450
4620000,5450
4625000,5450
4630000,5450
4635000,5450
4640000,5450
4645000,5450
4650000,5450
4655000,5450
4660000,5450
4665000,5450
4670000,5450
4675000,5450
4680000,5450
4685000,5450
4690000,5450
4695000,5450
4700000,5450
4705000,5450
4710000,5450
4715000,5450
4720000,5450
4725000,5450
4730000,5450
4735000,5450
4740000,5450
4745000,5450
4750000,5450
4755000,5450
4760000,5450
4765000,5450
4770000,5450
4775000,5450
4780000,5450
4785000,5450
4790000,5450
4795000,5450
4800000,5450
4805000,5450
4810000,5450
4815000,5450
4820000,5450
4825000,5450
4830000,5450
4835000,5450
4840000,5450
4845000,5450
4850000,5450
4855000,5450
4860000,5450
4865000,5450
4870000,5450
4875000,5450
4880000,5450
4885000,5450
4890000,5450
4895000,5450
4900000,5450
4905000,5450
4910000,5450
4915000,5450
4920000,5450
4925000,5450
4930000,5450
4935000,5450
4940000,5450
4945000,5450
4950000,5450
4955000,5450
4960000,5450
4965000,5450
4970000,5450
4975000,5450
4980000,5450
4985000,5450
4990000,5450
4995000,5450
5000000,5450
5005000,5450
5010000,5450
5015000,5450
5020000,5450
5025000,5450
5030000,5450
5035000,5450
5040000,5450
5045000,5450
5050000,5450
5055000,5450
5060000,5450
5065000,5450
5070000,5450
5075000,5450
5080000,5450
5085000,5450
5090000,5450
5095000,5450
5100000,5450
5105000,5450
5110000,5450
5115000,5450
5120000,5450
5125000,5450
5130000,5450
5135000,5450
5140000,5450
5145000,5450
5150000,5450
5155000,5450
5160000,5450
5165000,5450
5170000,5450
5175000,5450
5180000,5450
5185000,5450
5190000,5450
5195000,5450
5200000,5450
5205000,5450
5210000,5450
5215000,5450
5220000,5450
5225000,5450
5230000,5450
5235000,5450
5240000,5450
5245000,5450
5250000,5450
5255000,5450
5260000,5450
5265000,5450
5270000,5450
5275000,5450
5280000,5450
5285000,5450
5290000,5450
5295000,5450
5300000,5450
5305000,5450
5310000,5450
5315000,5450
5320000,5450
5325000,5450
5330000,5450
5335000,5450
5340000,5450
5345000,5450
5350000,5450
5355000,5450
5360000,5450
5365000,5450
5370000,5450
5375000,5450
5380000,5450
5385000,5450
5390000,5450
5395000,5450
5400000,5450
5405000,5450
5410000,5450
5415000,5450
5420000,5450
5425000,5450
5430000,5450
5435000,5450
5440000,5450
5445000,5450
5450000,5450
5455000,5450
5460000,5450
5465000,5450
5470000,5450
5475000,5450
5480000,5450
5485000,5450
5490000,5450
5495000,5450
5500000,5450
5505000,5450
5510000,5450
5515000,5450
5520000,5450
5525000,5450
5530000,5450
5535000,5450
5540000,5450
5545000,5450
5550000,5450
5555000,5450
5560000,5450
5565000,5450
5570000,5450
5575000,5450
5580000,5450
5585000,5450
5590000,5450
5595000,5450
5600000,5450
5605000,5450
5610000,5450
5615000,5450
5620000,5450
5625000,5450
5630000,5450
5635000,5450
5640000,5450
5645000,5450
5650000,5450
5655000,5450
5660000,5450
5665000,5450
5670000,5450
5675000,5450
5680000,5450
5685000,5450
5690000,5450
5695000,5450
5700000,5450
5705000,5450
5710000,5450
5715000,5450
5720000,5450
5725000,5450
5730000,5450
5735000,5450
5740000,5450
5745000,5450
5750000,5450
5755000,5450
5760000,5450
5765000,5450
5770000,5450
5775000,5450
5780000,5450
5785000,5450
5790000,5450
5795000,5450
5800000,5450
5805000,5450
5810000,5450
5815000,5450
5820000,5450
5825000,5450
5830000,5450
5835000,5450
5840000,5450
5845000,5450
5850000,5450
5855000,5450
5860000,5450
5865000,5450
5870000,5450
5875000,5450
5880000,5450
5885000,5450
5890000,5450
5895000,5450
5900000,5450
5905000,5450
5910000,5450
5915000,5450
5920000,5450
5925000,5450
5930000,5450
5935000,5450
5940000,5450
5945000,5450
5950000,5450
5955000,5450
5960000,5450
5965000,5450
5970000,5450
5975000,5450
5980000,5450
5985000,5450
5990000,5450
5995000,5450
6000000,5450
6005000,5450
6010000,5450
6015000,5450
6020000,5450
6025000,5450
6030000,5450
6035000,5450
6040000,5450
6045000,5450
6050000,5450
6055000,5450
6060000,5450
6065000,5450
6070000,5450
6075000,5450
6080000,5450
6085000,5450
6090000,5450
6095000,5450
6100000,5450
6105000,5450
6110000,5450
6115000,5450
6120000,5450
6125000,5450
6130000,5450
6135000,5450
6140000,5450
6145000,5450
6150000,5450
6155000,5450
6160000,5450
6165000,5450
6170000,5450
6175000,5450
6180000,5450
6185000,5450
6190000,5450
6195000,5450
6200000,5450
6205000,5450
6210000,5450
6215000,5450
6220000,5450
6225000,5450
6230000,5450
6235000,5450
6240000,5450
6245000,5450
6250000,5450
6255000,5450
6260000,5450
6265000,5450
6270000,5450
6275000,5450
6280000,5450
6285000,5450
6290000,5450
6295000,5450
6300000,5450
6305000,5450
6310000,5450
6315000,5450
6320000,5450
6325000,5450
6330000,5450
6335000,5450
6340000,5450
6345000,5450
6350000,5450
6355000,5450
6360000,5450
6365000,5450
6370000,5450
6375000,5450
6380000,5450
6385000,5450
6390000,5450
6395000,5450
6400000,5450
6405000,5450
6410000,5450
6415000,5450
6420000,5450
6425000,5450
6430000,5450
6435000,5450
6440000,5450
6445000,5450
6450000,5450
6455000,5450
6460000,5450
6465000,5450
6470000,5450
6475000,5450
6480000,5450
6485000,5450
6490000,5450
6495000,5450
6500000,5450
6505000,5450
6510000,5450
6515000,5450
6520000,5450
6525000,5450
6530000,5450
6535000,5450
6540000,5450
6545000,5450
6550000,5450
6555000,5450
6560000,5450
6565000,5450
6570000,5450
6575000,5450
6580000,5450
6585000,5450
6590000,5450
6595000,5450
6600000,5450
6605000,5450
6610000,5450
6615000,5450
6620000,5450
6625000,5450
6630000,5450
6635000,5450
6640000,5440
6645000,5440
6650000,5440
6655000,5440
6660000,5440
6665000,5440
6670000,5440
6675000,5440
6680000,5440
6685000,5440
6690000,5440
6695000,5440
6700000,5440
6705000,5440
6710000,5440
6715000,5440
6720000,5440
6725000,5440
6730000,5440
6735000,5440
6740000,5440
6745000,5440
6750000,5440
6755000,5440
6760000,5440
6765000,5440
6770000,5440
6775000,5440
6780000,5440
6785000,5440
6790000,5440
6795000,5440
6800000,5440
6805000,5440
6810000,5440
6815000,5440
6820000,5440
6825000,5440
6830000,5440
6835000,5440
6840000,5440
6845000,5440
6850000,5440
6855000,5440
6860000,5440
6865000,5440
6870000,5440
6875000,5440
6880000,5440
6885000,5440
6890000,5440
6895000,5440
6900000,5440
6905000,5440
6910000,5440
6915000,5440
6920000,5440
6925000,5440
6930000,5440
6935000,5440
6940000,5440
6945000,5440
6950000,5440
6955000,5440
6960000,5440
6965000,5440
6970000,5440
6975000,5440
6980000,5440
6985000,5440
6990000,5440
6995000,5440
7000000,5440
7005000,5440
7010000,5440
7015000,5440
7020000,5440
7025000,5440
7030000,5440
7035000,5440
7040000,5440
7045000,5440
7050000,5440
7055000,5440
7060000,5440
7065000,5440
7070000,5440
7075000,5440
7080000,5440
7085000,5440
7090000,5440
7095000,5440
7100000,5440
7105000,5440
7110000,5440
7115000,5440
7120000,5440
7125000,5440
7130000,5440
7135000,5440
7140000,5440
7145000,5440
7150000,5440
7155000,5440
7160000,5440
7165000,5440
7170000,5440
7175000,5440
7180000,5440
7185000,5440
7190000,5440
7195000,5440
7200000,5440
7205000,5440
7210000,5440
7215000,5440
7220000,5440
7225000,5440
7230000,5440
7235000,5440
7240000,5440
7245000,5440
7250000,5440
7255000,5440
7260000,5440
7265000,5440
7270000,5440
7275000,5440
7280000,5440
7285000,5440
7290000,5440
7295000,5440
7300000,5440
7305000,5440
7310000,5440
7315000,5440
7320000,5440
7325000,5440
7330000,5440
7335000,5440
7340000,5440
7345000,5440
7350000,5440
7355000,5440
7360000,5440
7365000,5440
7370000,5440
7375000,5440
7380000,5440
7385000,5440
7390000,5440
7395000,5440
7400000,5440
7405000,5440
7410000,5440
7415000,5440
7420000,5440
7425000,5440
7430000,5440
7435000,5440
7440000,5440
7445000,5440
7450000,5440
7455000,5440
7460000,5440
7465000,5440
7470000,5440
7475000,5440
7480000,5440
7485000,5440
7490000,5440
7495000,5440
7500000,5440
7505000,5440
7510000,5440
7515000,5440
7520000,5440
7525000,5440
7530000,5440
7535000,5440
7540000,5440
7545000,5440
7550000,5440
7555000,5440
7560000,5440
7565000,5440
7570000,5440
7575000,5440
7580000,5440
7585000,5440
7590000,5440
7595000,5440
7600000,5440
7605000,5440
7610000,5440
7615000,5440
7620000,5440
7625000,5440
7630000,5440
7635000,5440
7640000,5440
7645000,5440
7650000,5440
7655000,5440
7660000,5440
7665000,5440
7670000,5440
7675000,5440
7680000,5440
7685000,5440
7690000,5440
7695000,5440
7700000,5440
7705000,5440
7710000,5440
7715000,5440
7720000,5440
7725000,5440
7730000,5440
7735000,5440
7740000,5440
7745000,5440
7750000,5440
7755000,5440
7760000,5440
7765000,5440
7770000,5440
7775000,5440
7780000,5440
7785000,5440
7790000,5440
7795000,5440
7800000,5440
7805000,5440
7810000,5440
7815000,5440
7820000,5440
7825000,5440
7830000,5440
7835000,5440
7840000,5440
7845000,5440
7850000,5440
7855000,5440
7860000,5440
7865000,5440
7870000,5440
7875000,5440
7880000,5440
7885000,5440
7890000,5440
7895000,5440
7900000,5440
7905000,5440
7910000,5440
7915000,5440
7920000,5440
7925000,5440
7930000,5440
7935000,5440
7940000,5440
7945000,5440
7950000,5440
7955000,5440
7960000,5440
7965000,5440
7970000,5440
7975000,5440
7980000,5440
