Tiempo (s),Mejor Costo
0,6750
0,6749
0,6748
0,6747
0,6746
0,6745
0,6744
0,6743
0,6742
0,6741
0,6740
0,6739
0,6738
0,6737
0,6736
0,6735
0,6734
0,6733
0,6732
0,6731
0,6730
0,6729
0,6728
0,6727
0,6726
0,6725
0,6724
0,6723
0,6722
0,6721
0,6720
0,6719
0,6718
0,6717
0,6716
0,6715
0,6714
0,6713
0,6712
0,6711
0,6710
0,6709
0,6708
0,6707
0,6706
0,6705
0,6704
0,6703
0,6702
0,6701
0,6700
0,6699
0,6698
0,6697
0,6696
0,6695
0,6694
0,6693
0,6692
0,6691
0,6690
0,6689
0,6688
0,6687
0,6686
0,6685
0,6684
0,6683
0,6682
0,6681
0,6680
0,6679
0,6678
0,6677
0,6676
0,6675
0,6674
0,6673
0,6672
0,6671
0,6670
0,6669
0,6668
0,6667
0,6666
0,6665
0,6664
0,6663
0,6662
0,6661
0,6660
0,6659
0,6658
0,6657
0,6656
0,6655
0,6654
0,6653
0,6652
0,6651
0,6650
0,6649
0,6648
0,6647
0,6646
0,6645
0,6644
0,6643
0,6642
0,6641
0,6640
0,6639
0,6638
0,6637
0,6636
0,6635
0,6634
0,6633
0,6632
0,6631
0,6630
0,6629
0,6628
0,6627
0,6626
0,6625
0,6624
0,6623
0,6622
0,6621
0,6620
0,6619
0,6618
0,6617
0,6616
0,6615
0,6614
0,6613
0,6612
0,6611
0,6610
0,6609
0,6608
0,6607
0,6606
0,6605
0,6604
0,6603
0,6602
0,6601
0,6600
0,6599
0,6598
0,6597
0,6596
0,6595
0,6594
0,6593
0,6592
0,6591
0,6590
0,6589
0,6588
0,6587
0,6586
0,6585
0,6584
0,6583
0,6582
0,6581
0,6580
0,6579
0,6578
0,6577
0,6576
0,6575
0,6574
0,6573
0,6572
0,6571
0,6570
0,6569
0,6568
0,6567
0,6566
0,6565
0,6564
0,6563
0,6562
0,6561
0,6560
0,6559
0,6558
0,6557
0,6556
0,6555
0,6554
0,6553
0,6552
0,6551
0,6550
0,6549
0,6548
0,6547
0,6546
0,6545
0,6544
0,6543
0,6542
0,6541
0,6540
0,6539
0,6538
0,6537
0,6536
0,6535
0,6534
0,6533
0,6532
0,6531
0,6530
0,6529
0,6528
0,6527
0,6526
0,6525
0,6524
0,6523
0,6522
0,6521
0,6520
0,6519
0,6518
0,6517
0,6516
0,6515
0,6514
0,6513
0,6512
0,6511
0,6510
0,6509
0,6508
0,6507
0,6506
0,6505
0,6504
0,6503
0,6502
0,6501
0,6500
0,6499
0,6498
0,6497
0,6496
0,6495
0,6494
0,6493
0,6492
0,6491
0,6490
0,6489
0,6488
0,6487
0,6486
0,6485
0,6484
0,6483
0,6482
0,6481
0,6480
0,6479
0,6478
0,6477
0,6476
0,6475
0,6474
0,6473
0,6472
0,6471
0,6470
0,6469
0,6468
0,6467
0,6466
0,6465
0,6464
0,6463
0,6462
0,6461
0,6460
0,6459
0,6458
0,6457
0,6456
0,6455
0,6454
0,6453
0,6452
0,6451
0,6450
0,6449
0,6448
0,6447
0,6446
0,6445
0,6444
0,6443
0,6442
0,6441
0,6440
0,6439
0,6438
0,6437
0,6436
0,6435
0,6434
0,6433
0,6432
0,6431
0,6430
0,6429
1,6429
1,6428
1,6427
1,6426
1,6425
1,6424
1,6423
1,6422
1,6421
1,6420
1,6419
1,6418
1,6417
1,6416
1,6415
1,6414
1,6413
1,6412
1,6411
1,6410
1,6409
1,6408
1,6407
1,6406
1,6405
1,6404
1,6403
1,6402
1,6401
1,6400
1,6399
1,6398
1,6397
1,6396
1,6395
1,6394
1,6393
1,6392
1,6391
1,6390
1,6389
1,6388
1,6387
1,6386
1,6385
1,6384
1,6383
1,6382
1,6381
1,6380
1,6379
1,6378
1,6377
1,6375
2,6375
3,6375
4,6375
5,6375
6,6375
7,6375
7,6373
8,6373
9,6373
10,6373
11,6373
12,6373
13,6373
13,6371
14,6371
15,6371
16,6371
17,6371
18,6371
19,6371
20,6371
20,6369
21,6369
22,6369
23,6369
24,6369
25,6369
26,6369
26,6367
27,6367
28,6367
29,6367
30,6367
31,6367
32,6367
33,6367
33,6365
34,6365
35,6365
36,6365
37,6365
38,6365
39,6365
39,6363
40,6363
41,6363
42,6363
43,6363
44,6363
45,6363
45,6361
46,6361
47,6361
48,6361
49,6361
50,6361
51,6361
51,6359
52,6359
53,6359
54,6359
55,6359
56,6359
57,6359
57,6357
58,6357
59,6357
60,6357
61,6357
62,6357
63,6357
63,6355
64,6355
65,6355
66,6355
67,6355
68,6355
69,6355
70,6355
70,6353
71,6353
72,6353
73,6353
74,6353
75,6353
76,6353
76,6351
77,6351
78,6351
79,6351
80,6351
81,6351
82,6351
82,6349
83,6349
84,6349
85,6349
86,6349
87,6349
88,6349
88,6347
89,6347
90,6347
91,6347
92,6347
93,6347
94,6347
94,6345
95,6345
96,6345
97,6345
98,6345
99,6345
100,6345
100,6343
101,6343
102,6343
103,6343
104,6343
105,6343
106,6343
106,6341
107,6341
108,6341
109,6341
110,6341
111,6341
112,6341
113,6341
113,6339
114,6339
115,6339
116,6339
117,6339
118,6339
119,6339
119,6337
120,6337
