Nodos Explorados,Mejor Costo
5000,3830
10000,3800
15000,3770
20000,3740
25000,3710
30000,3680
35000,3650
40000,3620
45000,3590
50000,3560
55000,3530
60000,3490
65000,3460
70000,3430
75000,3400
80000,3370
85000,3340
90000,3310
95000,3280
100000,3250
105000,3220
110000,3190
115000,3150
120000,3130
125000,3110
130000,3110
135000,3110
140000,3110
145000,3110
150000,3110
155000,3110
160000,3110
165000,3110
170000,3110
175000,3110
180000,3110
185000,3110
190000,3110
195000,3110
200000,3110
205000,3110
210000,3110
215000,3110
220000,3110
225000,3110
230000,3110
235000,3110
240000,3110
245000,3110
250000,3110
255000,3110
260000,3110
265000,3110
270000,3110
275000,3110
280000,3110
285000,3110
290000,3110
295000,3110
300000,3110
305000,3110
310000,3110
315000,3110
320000,3110
325000,3110
330000,3110
335000,3110
340000,3110
345000,3110
350000,3110
355000,3110
360000,3110
365000,3110
370000,3110
375000,3110
380000,3110
385000,3110
390000,3110
395000,3110
400000,3110
405000,3110
410000,3110
415000,3110
420000,3110
425000,3110
430000,3110
435000,3110
440000,3110
445000,3110
450000,3110
455000,3110
460000,3110
465000,3110
470000,3110
475000,3110
480000,3110
485000,3110
490000,3110
495000,3110
500000,3110
505000,3110
510000,3110
515000,3110
520000,3110
525000,3110
530000,3110
535000,3110
540000,3110
545000,3110
550000,3110
555000,3110
560000,3110
565000,3110
570000,3110
575000,3110
580000,3110
585000,3110
590000,3110
595000,3110
600000,3110
605000,3110
610000,3110
615000,3110
620000,3110
625000,3110
630000,3110
635000,3110
640000,3110
645000,3110
650000,3110
655000,3110
660000,3110
665000,3110
670000,3110
675000,3110
680000,3110
685000,3110
690000,3110
695000,3110
700000,3110
705000,3110
710000,3110
715000,3110
720000,3110
725000,3110
730000,3110
735000,3110
740000,3110
745000,3110
750000,3110
755000,3110
760000,3110
765000,3110
770000,3110
775000,3110
780000,3110
785000,3110
790000,3110
795000,3110
800000,3110
805000,3110
810000,3110
815000,3110
820000,3110
825000,3110
830000,3110
835000,3110
840000,3110
845000,3110
850000,3110
855000,3110
860000,3110
865000,3110
870000,3110
875000,3110
880000,3110
885000,3110
890000,3110
895000,3110
900000,3110
905000,3110
910000,3110
915000,3110
920000,3110
925000,3110
930000,3110
935000,3110
940000,3110
945000,3110
950000,3110
955000,3110
960000,3110
965000,3110
970000,3110
975000,3110
980000,3110
985000,3110
990000,3110
995000,3110
1000000,3110
1005000,3110
1010000,3110
1015000,3110
1020000,3110
1025000,3110
1030000,3110
1035000,3110
1040000,3110
1045000,3110
1050000,3110
1055000,3110
1060000,3110
1065000,3110
1070000,3110
1075000,3110
1080000,3110
1085000,3110
1090000,3110
1095000,3110
1100000,3110
1105000,3110
1110000,3110
1115000,3110
1120000,3110
1125000,3110
1130000,3110
1135000,3110
1140000,3110
1145000,3110
1150000,3110
1155000,3110
1160000,3110
1165000,3110
1170000,3110
1175000,3110
1180000,3110
1185000,3110
1190000,3110
1195000,3110
1200000,3110
1205000,3110
1210000,3110
1215000,3110
1220000,3110
1225000,3110
1230000,3110
1235000,3110
1240000,3110
1245000,3110
1250000,3110
1255000,3110
1260000,3110
1265000,3110
1270000,3110
1275000,3110
1280000,3110
1285000,3110
1290000,3110
1295000,3110
1300000,3110
1305000,3110
1310000,3110
1315000,3110
1320000,3110
1325000,3110
1330000,3110
1335000,3110
1340000,3110
1345000,3110
1350000,3110
1355000,3110
1360000,3110
1365000,3110
1370000,3110
1375000,3110
1380000,3110
1385000,3110
1390000,3110
1395000,3110
1400000,3110
1405000,3110
1410000,3110
1415000,3110
1420000,3110
1425000,3110
1430000,3110
1435000,3110
1440000,3110
1445000,3110
1450000,3110
1455000,3110
1460000,3110
1465000,3110
1470000,3110
1475000,3110
1480000,3110
1485000,3110
1490000,3110
1495000,3110
1500000,3110
1505000,3110
1510000,3110
1515000,3110
1520000,3110
1525000,3110
1530000,3110
1535000,3110
1540000,3110
1545000,3110
1550000,3110
1555000,3110
1560000,3110
1565000,3110
1570000,3110
1575000,3110
1580000,3110
1585000,3110
1590000,3110
1595000,3110
1600000,3110
1605000,3110
1610000,3110
1615000,3110
1620000,3110
1625000,3110
1630000,3110
1635000,3110
1640000,3110
1645000,3110
1650000,3110
1655000,3110
1660000,3110
1665000,3110
1670000,3110
1675000,3110
1680000,3110
1685000,3110
1690000,3110
1695000,3110
1700000,3110
1705000,3110
1710000,3110
1715000,3110
1720000,3110
1725000,3110
1730000,3110
1735000,3110
1740000,3110
1745000,3110
1750000,3110
1755000,3110
1760000,3110
1765000,3110
1770000,3110
1775000,3110
1780000,3110
1785000,3110
1790000,3110
1795000,3110
1800000,3110
1805000,3110
1810000,3110
1815000,3110
1820000,3110
1825000,3110
1830000,3110
1835000,3110
1840000,3110
1845000,3110
1850000,3110
1855000,3110
1860000,3110
1865000,3110
1870000,3110
1875000,3110
1880000,3110
1885000,3110
1890000,3110
1895000,3110
1900000,3110
1905000,3110
1910000,3110
1915000,3110
1920000,3110
1925000,3110
1930000,3110
1935000,3110
1940000,3110
1945000,3110
1950000,3110
1955000,3110
1960000,3110
1965000,3110
1970000,3110
1975000,3110
1980000,3110
1985000,3110
1990000,3110
1995000,3110
2000000,3110
2005000,3110
2010000,3110
2015000,3110
2020000,3110
2025000,3110
2030000,3110
2035000,3110
2040000,3110
2045000,3110
2050000,3110
2055000,3110
2060000,3110
2065000,3110
2070000,3110
2075000,3110
2080000,3110
2085000,3110
2090000,3110
2095000,3110
2100000,3110
2105000,3110
2110000,3110
2115000,3110
2120000,3110
2125000,3110
2130000,3110
2135000,3110
2140000,3110
2145000,3110
2150000,3110
2155000,3110
2160000,3110
2165000,3110
2170000,3110
2175000,3110
2180000,3110
2185000,3110
2190000,3110
2195000,3110
2200000,3110
2205000,3110
2210000,3110
2215000,3110
2220000,3110
2225000,3110
2230000,3110
2235000,3110
2240000,3110
2245000,3110
2250000,3110
2255000,3110
2260000,3110
2265000,3110
2270000,3110
2275000,3110
2280000,3110
2285000,3110
2290000,3110
2295000,3110
2300000,3110
2305000,3110
2310000,3110
2315000,3110
2320000,3110
2325000,3110
2330000,3110
2335000,3110
2340000,3110
2345000,3110
2350000,3110
2355000,3110
2360000,3110
2365000,3110
2370000,3110
2375000,3110
2380000,3110
2385000,3110
2390000,3110
2395000,3110
2400000,3110
2405000,3110
2410000,3110
2415000,3110
2420000,3110
2425000,3110
2430000,3110
2435000,3110
2440000,3110
2445000,3110
2450000,3110
2455000,3110
2460000,3110
2465000,3110
2470000,3110
2475000,3110
2480000,3110
2485000,3110
2490000,3110
2495000,3110
2500000,3110
2505000,3110
2510000,3110
2515000,3110
2520000,3110
2525000,3110
2530000,3110
2535000,3110
2540000,3110
2545000,3110
2550000,3110
2555000,3110
2560000,3110
2565000,3110
2570000,3110
2575000,3110
2580000,3110
2585000,3110
2590000,3110
2595000,3110
2600000,3110
2605000,3110
2610000,3110
2615000,3110
2620000,3110
2625000,3110
2630000,3110
2635000,3110
2640000,3110
2645000,3110
2650000,3110
2655000,3110
2660000,3110
2665000,3110
2670000,3110
2675000,3110
2680000,3110
2685000,3110
2690000,3110
2695000,3110
2700000,3110
2705000,3110
2710000,3110
2715000,3110
2720000,3110
2725000,3110
2730000,3110
2735000,3110
2740000,3110
2745000,3110
2750000,3110
2755000,3110
2760000,3110
2765000,3110
2770000,3110
2775000,3110
2780000,3110
2785000,3110
2790000,3110
2795000,3110
2800000,3110
2805000,3110
2810000,3110
2815000,3110
2820000,3110
2825000,3110
2830000,3110
2835000,3110
2840000,3110
2845000,3110
2850000,3110
2855000,3110
2860000,3110
2865000,3110
2870000,3110
2875000,3110
2880000,3110
2885000,3110
2890000,3110
2895000,3110
2900000,3100
2905000,3100
2910000,3100
2915000,3100
2920000,3100
2925000,3100
2930000,3100
2935000,3100
2940000,3100
2945000,3100
2950000,3100
2955000,3100
2960000,3100
2965000,3100
2970000,3100
2975000,3100
2980000,3100
2985000,3100
2990000,3100
2995000,3100
3000000,3100
3005000,3100
3010000,3100
3015000,3100
3020000,3100
3025000,3100
3030000,3100
3035000,3100
3040000,3100
3045000,3100
3050000,3100
3055000,3100
3060000,3100
3065000,3100
3070000,3100
3075000,3100
3080000,3100
3085000,3100
3090000,3100
3095000,3100
3100000,3100
3105000,3100
3110000,3100
3115000,3100
3120000,3100
3125000,3100
3130000,3100
3135000,3100
3140000,3100
3145000,3100
3150000,3100
3155000,3100
3160000,3100
3165000,3100
3170000,3100
3175000,3100
3180000,3100
3185000,3100
3190000,3100
3195000,3100
3200000,3100
3205000,3100
3210000,3100
3215000,3100
3220000,3100
3225000,3100
3230000,3100
3235000,3100
3240000,3100
3245000,3100
3250000,3100
3255000,3100
3260000,3100
3265000,3100
3270000,3100
3275000,3100
3280000,3100
3285000,3100
3290000,3100
3295000,3100
3300000,3100
3305000,3100
3310000,3100
3315000,3100
3320000,3100
3325000,3100
3330000,3100
3335000,3100
3340000,3100
3345000,3100
3350000,3100
3355000,3100
3360000,3100
3365000,3100
3370000,3100
3375000,3100
3380000,3100
3385000,3100
3390000,3100
3395000,3100
3400000,3100
3405000,3100
3410000,3100
3415000,3100
3420000,3100
3425000,3100
3430000,3100
3435000,3100
3440000,3100
3445000,3100
3450000,3100
3455000,3100
3460000,3100
3465000,3100
3470000,3100
3475000,3100
3480000,3100
3485000,3100
3490000,3100
3495000,3100
3500000,3100
3505000,3100
3510000,3100
3515000,3100
3520000,3100
3525000,3100
3530000,3100
3535000,3100
3540000,3100
3545000,3100
3550000,3100
3555000,3100
3560000,3100
3565000,3100
3570000,3100
3575000,3100
3580000,3100
3585000,3100
3590000,3100
3595000,3100
3600000,3100
3605000,3100
3610000,3100
3615000,3100
3620000,3100
3625000,3100
3630000,3100
3635000,3100
3640000,3100
3645000,3100
3650000,3100
3655000,3100
3660000,3100
3665000,3100
3670000,3100
3675000,3100
3680000,3100
3685000,3100
3690000,3100
3695000,3100
3700000,3100
3705000,3100
3710000,3100
3715000,3100
3720000,3100
3725000,3100
3730000,3100
3735000,3100
3740000,3100
3745000,3100
3750000,3100
3755000,3100
3760000,3100
3765000,3100
3770000,3100
3775000,3100
3780000,3100
3785000,3100
3790000,3100
3795000,3100
3800000,3100
3805000,3100
3810000,3100
3815000,3100
3820000,3100
3825000,3100
3830000,3100
3835000,3100
3840000,3100
3845000,3100
3850000,3100
3855000,3100
3860000,3100
3865000,3100
3870000,3100
3875000,3100
3880000,3100
3885000,3100
3890000,3100
3895000,3100
3900000,3100
3905000,3100
3910000,3100
3915000,3100
3920000,3100
3925000,3100
3930000,3100
3935000,3100
3940000,3100
3945000,3100
3950000,3100
3955000,3100
3960000,3100
3965000,3100
3970000,3100
3975000,3100
3980000,3100
3985000,3100
3990000,3100
3995000,3100
4000000,3100
4005000,3100
4010000,3100
4015000,3100
4020000,3100
4025000,3100
4030000,3100
4035000,3100
4040000,3100
4045000,3100
4050000,3100
4055000,3100
4060000,3100
4065000,3100
4070000,3100
4075000,3100
4080000,3100
4085000,3100
4090000,3100
4095000,3100
4100000,3100
4105000,3100
4110000,3100
4115000,3100
4120000,3100
4125000,3100
4130000,3100
4135000,3100
4140000,3100
4145000,3100
4150000,3100
4155000,3100
4160000,3100
4165000,3100
4170000,3100
4175000,3100
4180000,3100
4185000,3100
4190000,3100
4195000,3100
4200000,3100
4205000,3100
4210000,3100
4215000,3100
4220000,3100
4225000,3100
4230000,3100
4235000,3100
4240000,3100
4245000,3100
4250000,3100
4255000,3100
4260000,3100
4265000,3100
4270000,3100
4275000,3100
4280000,3100
4285000,3100
4290000,3100
4295000,3100
4300000,3100
4305000,3100
4310000,3100
4315000,3100
4320000,3100
4325000,3100
4330000,3100
4335000,3100
4340000,3100
4345000,3100
4350000,3100
4355000,3100
4360000,3100
4365000,3100
4370000,3100
4375000,3100
4380000,3100
4385000,3100
4390000,3100
4395000,3100
4400000,3100
4405000,3100
4410000,3100
4415000,3100
4420000,3100
4425000,3100
4430000,3100
4435000,3100
4440000,3100
4445000,3100
4450000,3100
4455000,3100
4460000,3100
4465000,3100
4470000,3100
4475000,3100
4480000,3100
4485000,3100
4490000,3100
4495000,3100
4500000,3100
4505000,3100
4510000,3100
4515000,3100
4520000,3100
4525000,3100
4530000,3100
4535000,3100
4540000,3100
4545000,3100
4550000,3100
4555000,3100
4560000,3100
4565000,3100
4570000,3100
4575000,3100
4580000,3100
4585000,3100
4590000,3100
4595000,3100
4600000,3100
4605000,3100
4610000,3100
4615000,3100
4620000,3100
4625000,3100
4630000,3100
4635000,3100
4640000,3100
4645000,3100
4650000,3100
4655000,3100
4660000,3100
4665000,3100
4670000,3100
4675000,3100
4680000,3100
4685000,3100
4690000,3100
4695000,3100
4700000,3100
4705000,3100
4710000,3100
4715000,3100
4720000,3100
4725000,3100
4730000,3100
4735000,3100
4740000,3100
4745000,3100
4750000,3100
4755000,3100
4760000,3100
4765000,3100
4770000,3100
4775000,3100
4780000,3100
4785000,3100
4790000,3100
4795000,3100
4800000,3100
4805000,3100
4810000,3100
4815000,3100
4820000,3100
4825000,3100
4830000,3100
4835000,3100
4840000,3100
4845000,3100
4850000,3100
4855000,3100
4860000,3100
4865000,3100
4870000,3100
4875000,3100
4880000,3100
4885000,3100
4890000,3100
4895000,3100
4900000,3100
4905000,3100
4910000,3100
4915000,3100
4920000,3100
4925000,3100
4930000,3100
4935000,3100
4940000,3100
4945000,3100
4950000,3100
4955000,3100
4960000,3100
4965000,3100
4970000,3100
4975000,3100
4980000,3100
4985000,3100
4990000,3100
4995000,3100
5000000,3100
5005000,3100
5010000,3100
5015000,3100
5020000,3100
5025000,3100
