Tiempo (s),Mejor Costo
0,7140
0,7130
0,7120
0,7110
0,7100
0,7090
0,7080
0,7070
0,7060
0,7050
0,7040
0,7030
0,7020
0,7010
0,7000
0,6990
0,6980
0,6970
0,6960
0,6950
0,6940
0,6930
0,6920
0,6910
0,6900
0,6890
0,6880
0,6870
0,6860
0,6850
0,6840
0,6830
0,6820
0,6810
0,6800
0,6790
0,6780
0,6770
0,6760
0,6750
0,6740
0,6730
0,6720
0,6710
0,6700
0,6690
0,6680
0,6670
0,6660
0,6650
0,6640
0,6630
0,6620
0,6610
0,6600
0,6590
0,6580
0,6570
0,6560
0,6550
0,6540
0,6530
0,6520
0,6510
0,6500
0,6490
0,6480
0,6470
0,6460
0,6450
0,6440
0,6430
0,6420
0,6410
0,6400
0,6390
0,6380
0,6370
0,6360
0,6350
0,6340
0,6330
0,6320
0,6310
0,6300
0,6290
0,6280
0,6270
0,6260
0,6250
0,6240
0,6230
0,6220
0,6210
0,6200
0,6190
0,6180
0,6170
0,6160
0,6150
0,6140
0,6130
0,6120
1,6120
1,6110
1,6100
1,6090
1,6080
2,6080
2,6070
2,6060
2,6050
2,6040
3,6040
3,6030
3,6020
3,6010
3,6000
4,6000
4,5990
4,5980
4,5970
4,5960
5,5960
5,5950
5,5940
5,5930
5,5920
6,5920
6,5910
6,5900
6,5890
7,5890
7,5880
7,5870
7,5860
7,5850
8,5850
8,5840
8,5830
8,5820
8,5810
9,5810
9,5800
9,5790
9,5780
9,5770
10,5770
10,5760
10,5750
10,5740
10,5730
11,5730
11,5720
11,5710
11,5700
11,5690
12,5690
12,5680
12,5670
12,5660
12,5650
13,5650
13,5640
13,5630
13,5620
14,5620
14,5610
14,5600
14,5590
14,5580
15,5580
15,5570
15,5560
15,5550
15,5540
16,5540
16,5530
16,5520
16,5510
16,5500
17,5500
17,5490
17,5480
17,5470
17,5460
18,5460
19,5460
20,5460
21,5460
22,5460
23,5460
24,5460
25,5460
26,5460
27,5460
28,5460
29,5460
30,5460
31,5460
32,5460
33,5460
34,5460
35,5460
36,5460
37,5460
38,5460
39,5460
40,5460
41,5460
42,5460
43,5460
44,5460
45,5460
46,5460
47,5460
48,5460
49,5460
50,5460
51,5460
52,5460
53,5460
54,5460
55,5460
56,5460
57,5460
58,5460
59,5460
60,5460
61,5460
62,5460
63,5460
64,5460
65,5460
66,5460
67,5460
68,5460
69,5460
70,5460
71,5460
72,5460
73,5460
74,5460
75,5460
76,5460
77,5460
78,5460
79,5460
80,5460
81,5460
82,5460
83,5460
84,5460
85,5460
86,5460
87,5460
88,5460
89,5460
90,5460
91,5460
92,5460
93,5460
94,5460
95,5460
96,5460
97,5460
98,5460
99,5460
100,5460
101,5460
102,5460
103,5460
104,5460
105,5460
106,5460
107,5460
108,5460
109,5460
110,5460
111,5460
112,5460
113,5460
114,5460
115,5460
116,5460
117,5460
118,5460
119,5460
120,5460
