Tiempo (s),Factibles,Infactibles (Podas FC)
1,7421,0
2,15048,0
3,22753,0
4,30420,0
5,38071,0
6,45526,0
7,53152,0
8,60738,0
9,68407,0
10,76063,0
11,83682,0
12,91334,0
13,98987,0
14,106324,0
15,113962,0
16,121558,0
17,129219,0
18,136873,0
19,144512,0
20,152165,0
21,159723,0
22,167302,0
23,174977,0
24,182671,0
25,190341,0
26,198017,0
27,205740,0
28,213256,0
29,220951,0
30,228658,0
31,236367,0
32,244072,0
33,251776,0
34,259462,0
35,267136,0
36,274822,0
37,282525,0
38,290210,0
39,297908,0
40,305624,0
41,313259,0
42,320812,0
43,328493,0
44,336189,0
45,343765,0
46,351282,0
47,358907,0
48,366630,0
49,374338,0
50,382051,0
51,389694,0
52,397216,0
53,404883,0
54,412518,0
55,420222,0
56,427893,0
57,435591,0
58,443286,0
59,450992,0
60,458195,0
61,465874,0
62,473426,0
63,481163,0
64,488852,0
65,496478,0
66,504046,0
67,511700,0
68,519428,0
69,527103,0
70,534780,0
71,542380,0
72,550005,0
73,557709,0
74,565375,0
75,573057,0
76,580744,0
77,588439,0
78,596137,0
79,603808,0
80,611514,0
81,619191,0
82,626854,0
83,634485,0
84,642133,0
85,649853,0
86,657522,0
87,665230,0
88,672934,0
89,680641,0
90,688210,0
91,695909,0
92,703592,0
93,711276,0
94,718916,0
95,726630,0
96,734357,0
97,741954,0
98,749681,0
99,757360,0
100,765088,0
101,772788,0
102,780468,0
103,788159,0
104,795864,0
105,803539,0
106,811183,0
107,818869,0
108,826579,0
109,834267,0
110,841924,0
111,849611,0
112,857260,0
113,864733,0
114,872426,0
115,880132,0
116,887845,0
117,895478,0
118,903186,0
119,910847,0
120,918392,0
