Tiempo (s),Nodos
1,37099
2,74822
3,112379
4,150087
5,187779
6,225219
7,263152
8,300900
9,338230
10,375244
11,412458
12,450129
13,487610
14,525208
15,562794
16,600453
17,638151
18,675629
19,712741
20,749706
21,786799
22,824012
23,861473
24,898951
25,936419
26,973676
27,1010715
28,1047985
29,1085279
30,1122180
31,1159589
32,1197004
33,1234419
34,1271454
35,1308456
36,1345644
37,1382676
38,1419451
39,1456278
40,1493417
41,1530437
42,1567832
43,1605260
44,1641342
45,1678278
46,1715305
47,1752342
48,1789327
49,1826125
50,1863076
51,1899754
52,1937048
53,1974479
54,2011627
55,2048215
56,2084739
57,2121169
58,2157175
59,2192332
60,2227990
61,2263934
62,2299911
63,2336218
64,2372521
65,2409071
66,2445686
67,2482283
68,2518991
69,2555624
70,2592507
71,2629501
72,2666487
73,2703671
74,2740944
75,2778306
76,2815791
77,2853248
78,2890619
79,2927715
80,2964755
81,3001891
82,3038503
83,3075139
84,3111796
85,3148439
86,3185023
87,3222476
88,3259907
89,3297279
90,3334728
91,3371904
92,3409013
93,3444953
94,3481322
95,3517790
96,3554941
97,3591666
98,3628744
99,3666128
100,3703524
101,3740953
102,3778333
103,3815633
104,3852773
105,3889948
106,3927292
107,3964675
108,4001997
109,4038588
110,4075122
111,4111701
112,4148285
113,4184880
114,4221430
115,4257983
116,4294520
117,4330997
118,4367449
119,4403937
120,4440354
